item_id,item_name,current_quantity,reorder_threshold
INV-1001,Heavy Duty Shipping Boxes (Large),18,50
INV-1002,Clear Packing Tape (6 Rolls/Pack),150,40
INV-1003,Bubble Wrap Roll (200 sq ft),4,20
INV-1004,Thermal Label Rolls (4x6),12,30
INV-1005,Industrial Stretch Wrap (18 in),100,25
INV-1006,Safety Gloves (L - 10 Pair Pack),2,15
INV-1007,Barcode Scanner Handheld,15,5
INV-1008,Standard Wood Pallets (48x40),0,10
INV-1009,Fragile Warning Stickers (Roll of 500),75,25
INV-1010,Poly Mailer Envelopes 10x13 (100 Pack),85,50
